timeout_sec,http2MaxRequests,http1MaxPendingRequests,retry_attempts,consecutive5xxErrors,reward,latency_p99_ms,latency_spread,error_rate_5xx,envoy_cpu_cores,rps_user,success_rate
1.0,476,500,0,10,0.8566545701819389,455.7408988741779,449.3677190031772,0.00012675840029281393,1.1163396344813241,317.60356334253373,0.4519757921218313
2.4,424,186,0,1,0.8716009512430218,786.9580419580442,780.1551573426595,0.0,0.9749552834124685,320.32,0.45129870129870125
3.0,500,500,0,1,0.9240100097178607,927.8425821420474,909.6806241469104,9.971225987581016e-05,0.5464697241943969,401.1542818287269,0.4505932931310912
2.71,442,50,0,1,0.8453940823217375,1871.9698099126447,1824.2048128385843,0.00016938892675334564,1.1133027428142188,472.2858898355934,0.4496485096765974
2.86,100,346,0,1,0.7999594976881522,2263.2432316021723,2177.4978468153517,0.00022080196880113831,1.451857711943263,543.4879086793804,0.4496946157656564
2.66,100,50,0,3,0.8246707991700342,2408.7747287811103,2303.015800209682,0.00013997760358342665,1.2452939671328664,571.52,0.4486982082866741
1.0,500,500,3,1,0.8866835417144621,2913.069021801014,2754.6067085491113,0.0002046831626601017,0.7171997756139794,586.2719651213952,0.44900046634510954
1.0,500,50,0,1,0.7835374073513625,4289.313830990851,4104.170531453232,0.0001373701956674658,1.4516431887162957,582.3679555182207,0.44961876089033764
3.0,402,500,0,3,0.7850165740995609,4207.871013424103,4012.702198601996,0.0,1.4458483001359759,592.6322467101317,0.4511339719068577
1.0,345,265,2,10,0.8216563240617735,3790.809948164594,3583.093236949283,0.0,1.1809526346686832,586.2396614187514,0.452852079706752
1.0,372,333,0,1,0.809569189628784,2883.4779923791207,2729.223925271214,7.008295207816823e-05,1.336216253143894,570.7522131114756,0.4504870601181884
1.57,100,485,2,1,0.7785864377997476,2449.22733815622,2351.3903592740944,0.00022164761069762704,1.6108446124662807,541.414363774551,0.4504617575314098
2.01,100,55,0,9,0.8430815680861585,2239.2679221386143,2158.301862396462,0.0,1.108761795826229,493.0063170526821,0.44738337924727933
3.0,500,500,0,10,0.7849472300987856,1795.579906632045,1758.2095350492161,9.424055625752204e-05,1.601774030041158,424.428734850606,0.4494392554965898
2.83,100,500,4,10,0.8753921482291697,857.8656527327689,844.9641386655147,0.0,0.9401018211200336,351.39045638174474,0.45145136440365335
1.0,100,109,2,1,0.8905575781066948,633.5341631569936,627.3756253058822,0.0,0.8335090488643452,313.15645614175435,0.4517818301024693
1.07,100,500,5,1,0.8788359542724087,748.3957557322678,740.9075778881817,0.00023764833684042561,0.9191936246930356,336.63858593599775,0.4516397445323661
1.43,500,392,0,10,0.8162044203261765,930.4684235009905,909.2414036060208,0.0,1.4090409764870213,409.32422896915875,0.45117632791656564
2.69,100,50,5,1,0.8935600461326594,1919.9837133550498,1856.5600680348527,0.0,0.7256348382257287,487.88,0.447733049110437
1.0,446,50,0,1,0.8460851109263186,2291.8701277140112,2200.919181963484,0.0,1.0815594689335346,540.1510399107589,0.4491262723791196
2.41,100,500,1,1,0.8295604669212024,2415.934414668546,2316.0498154238967,0.0,1.205783456960632,572.36,0.44824935355370743
1.01,223,500,0,3,0.8254299626276533,3740.964947861805,3576.484024486169,0.0,1.152645333233841,573.8880243209728,0.4510350932166722
1.89,248,298,0,5,0.7507738209629032,4298.872549019599,4105.572236193739,0.0,1.7136612727896627,583.76,0.4486090174044128
1.0,471,287,0,2,0.7676692575179985,4307.822665806137,4126.968402386308,0.00013657843960788077,1.5772130807037155,585.7674194967799,0.45192572636094974
2.91,269,500,0,1,0.740010309186268,4205.239179954444,4022.4103699335674,0.00013955760240039075,1.8053834263087882,573.24,0.44867769171725624
1.83,303,69,0,5,0.7842243318966944,3229.1885956718606,3085.798637040577,0.0,1.5157057704026964,559.5415449853982,0.4514584174003315
1.0,436,50,0,1,0.7980391126364139,2425.0227491741966,2326.8166948421326,7.54536459178165e-05,1.4571415434829758,530.1268018720749,0.45121856445941977
3.0,100,78,4,5,0.7954138434643614,2250.6508929157535,2173.971481550439,8.250709921953777e-05,1.489036825604463,484.80676667066683,0.4505775462291
1.0,100,179,0,10,0.8191993384826234,1631.9186046511663,1590.9000861326479,9.685230024213076e-05,1.3387842978457352,413.0,0.4513317191283293
1.0,417,500,3,6,0.8114633132489975,848.2315939475166,834.4769441979654,0.0001169985301261106,1.4519692123429186,341.8846369854794,0.4512694523043691
3.0,293,50,2,1,0.8288518272339562,754.0193366861763,747.6483572096395,0.0,1.319129792331823,303.35661773529057,0.4518723800531705
